E2-ADMM-Nest,38,0.250000,2.702698,0.003232,281,0.005967
E2-ADMM-HB,38,0.250000,1.446023,0.003233,152,0.005969
E-ADMM,38,0.250000,4.647078,0.010662,501,0.037660
E-ADMM-Nest,38,0.250000,1.697068,0.003238,180,0.005995
E-ADMM-HB,38,0.250000,1.452839,0.003233,154,0.005969
DY,40,0.750000,2.391975,0.001143,257,0.004061
DY-Nest,40,0.750000,0.805567,0.000839,85,0.000896
DY-HB,40,0.750000,0.571936,0.000839,59,0.000896
E2-ADMM,40,0.750000,2.474389,0.001143,250,0.003285
E2-ADMM-Nest,40,0.750000,0.931913,0.000839,90,0.000896
E2-ADMM-HB,40,0.750000,0.678706,0.000840,67,0.000897
E-ADMM,40,0.750000,2.914646,0.000906,304,0.001359
E-ADMM-Nest,40,0.750000,0.815060,0.000839,85,0.000896
E-ADMM-HB,40,0.750000,0.699495,0.000839,66,0.000896
DY,40,0.500000,4.380072,0.001375,461,0.007539
DY-Nest,40,0.500000,1.436674,0.001341,152,0.001646
DY-HB,40,0.500000,1.068792,0.001340,113,0.001644
E2-ADMM,40,0.500000,4.449419,0.001375,449,0.007576
E2-ADMM-Nest,40,0.500000,1.567267,0.001341,160,0.001647
E2-ADMM-HB,40,0.500000,1.109217,0.001340,112,0.001645
E-ADMM,40,0.500000,4.456351,0.001375,459,0.007482
E-ADMM-Nest,40,0.500000,1.399015,0.001340,145,0.001644
E-ADMM-HB,40,0.500000,1.022878,0.001340,106,0.001645
DY,40,0.250000,4.754548,0.014102,501,0.061038
DY-Nest,40,0.250000,2.368771,0.003049,253,0.005974
DY-HB,40,0.250000,1.763560,0.003048,187,0.005975
E2-ADMM,40,0.250000,4.991264,0.013888,501,0.060682
E2-ADMM-Nest,40,0.250000,2.350718,0.003054,239,0.006004
E2-ADMM-HB,40,0.250000,1.681778,0.003048,169,0.005973
E-ADMM,40,0.250000,4.864004,0.014010,501,0.060578
E-ADMM-Nest,40,0.250000,2.413105,0.003049,252,0.005980
E-ADMM-HB,40,0.250000,1.370362,0.003050,141,0.005978
DY,42,0.750000,3.058822,0.000833,310,0.001959
DY-Nest,42,0.750000,0.824579,0.000777,83,0.000835
DY-HB,42,0.750000,0.726170,0.000777,72,0.000835
E2-ADMM,42,0.750000,3.531838,0.000777,345,0.000835
E2-ADMM-Nest,42,0.750000,0.972963,0.000777,93,0.000835
E2-ADMM-HB,42,0.750000,0.755082,0.000777,71,0.000835
E-ADMM,42,0.750000,2.978746,0.000833,300,0.001561
E-ADMM-Nest,42,0.750000,0.956683,0.000777,96,0.000835
E-ADMM-HB,42,0.750000,0.620762,0.000777,61,0.000835
DY,42,0.500000,4.437492,0.001248,454,0.001550
DY-Nest,42,0.500000,1.309812,0.001248,133,0.001550
DY-HB,42,0.500000,1.074010,0.001248,109,0.001549
E2-ADMM,42,0.500000,4.767409,0.001248,466,0.001549
E2-ADMM-Nest,42,0.500000,1.529384,0.001248,150,0.001549
E2-ADMM-HB,42,0.500000,0.923130,0.001247,89,0.001549
E-ADMM,42,0.500000,4.778699,0.001248,476,0.001549
E-ADMM-Nest,42,0.500000,1.318988,0.001248,133,0.001550
E-ADMM-HB,42,0.500000,1.084922,0.001248,106,0.001549
DY,42,0.250000,4.916577,0.017476,501,0.085635
DY-Nest,42,0.250000,2.564271,0.002875,260,0.006024
DY-HB,42,0.250000,1.572494,0.002876,157,0.006005
E2-ADMM,42,0.250000,5.120816,0.016984,501,0.083275
E2-ADMM-Nest,42,0.250000,2.681577,0.002876,258,0.006027
E2-ADMM-HB,42,0.250000,1.488176,0.002880,145,0.006010
E-ADMM,42,0.250000,5.059115,0.017258,501,0.084971
E-ADMM-Nest,42,0.250000,2.273512,0.002881,225,0.006054
E-ADMM-HB,42,0.250000,2.169833,0.002874,216,0.006006
DY,44,0.750000,4.456246,0.000731,436,0.000788
DY-Nest,44,0.750000,0.972083,0.000731,94,0.000788
DY-HB,44,0.750000,0.658871,0.000731,63,0.000788
E2-ADMM,44,0.750000,4.430679,0.000731,417,0.000788
E2-ADMM-Nest,44,0.750000,1.183056,0.000731,110,0.000788
E2-ADMM-HB,44,0.750000,0.685038,0.000731,63,0.000788
E-ADMM,44,0.750000,4.441718,0.000731,428,0.000788
E-ADMM-Nest,44,0.750000,1.042926,0.000731,98,0.000788
E-ADMM-HB,44,0.750000,0.594383,0.000731,55,0.000788
DY,44,0.500000,5.027610,0.001365,501,0.007991
DY-Nest,44,0.500000,1.640206,0.001170,159,0.001482
DY-HB,44,0.500000,1.124046,0.001170,108,0.001480
E2-ADMM,44,0.500000,5.275433,0.001341,501,0.007539
E2-ADMM-Nest,44,0.500000,1.820677,0.001170,171,0.001481
E2-ADMM-HB,44,0.500000,1.185978,0.001170,111,0.001480
E-ADMM,44,0.500000,5.206120,0.001357,501,0.007728
E-ADMM-Nest,44,0.500000,1.795975,0.001170,174,0.001480
E-ADMM-HB,44,0.500000,1.049915,0.001170,101,0.001480
DY,44,0.250000,5.100906,0.018839,501,0.102005
DY-Nest,44,0.250000,2.864286,0.002740,286,0.006112
DY-HB,44,0.250000,1.812210,0.002747,175,0.006118
E2-ADMM,44,0.250000,5.305724,0.018890,501,0.102152
E2-ADMM-Nest,44,0.250000,3.304412,0.002742,309,0.006128
E2-ADMM-HB,44,0.250000,1.644209,0.002745,156,0.006110
E-ADMM,44,0.250000,5.256820,0.018861,501,0.102626
E-ADMM-Nest,44,0.250000,2.432149,0.002743,236,0.006135
E-ADMM-HB,44,0.250000,1.859653,0.002750,178,0.006131
DY,46,0.750000,3.797714,0.000731,359,0.002854
DY-Nest,46,0.750000,1.007787,0.000684,95,0.000740
DY-HB,46,0.750000,0.755171,0.000684,69,0.000740
E2-ADMM,46,0.750000,3.780632,0.000731,341,0.002695
E2-ADMM-Nest,46,0.750000,1.202128,0.000684,110,0.000741
E2-ADMM-HB,46,0.750000,0.783371,0.000684,71,0.000740
E-ADMM,46,0.750000,3.810672,0.000732,349,0.002902
E-ADMM-Nest,46,0.750000,0.955378,0.000684,88,0.000741
E-ADMM-HB,46,0.750000,0.741878,0.000684,68,0.000740
DY,46,0.500000,5.323983,0.001926,501,0.014035
DY-Nest,46,0.500000,2.034320,0.001100,193,0.001406
DY-HB,46,0.500000,1.212456,0.001099,114,0.001405
E2-ADMM,46,0.500000,5.521583,0.001892,501,0.013452
E2-ADMM-Nest,46,0.500000,2.276680,0.001099,208,0.001405
E2-ADMM-HB,46,0.500000,1.340413,0.001099,119,0.001405
E-ADMM,46,0.500000,5.378150,0.001923,501,0.013956
E-ADMM-Nest,46,0.500000,2.075445,0.001099,189,0.001405
E-ADMM-HB,46,0.500000,1.179732,0.001100,108,0.001406
DY,46,0.250000,5.269258,0.019330,501,0.116727
DY-Nest,46,0.250000,2.647957,0.002628,249,0.006228
DY-HB,46,0.250000,2.371808,0.002623,204,0.006154
E2-ADMM,46,0.250000,5.627690,0.019333,501,0.117291
E2-ADMM-Nest,46,0.250000,2.822701,0.002632,262,0.006256
E2-ADMM-HB,46,0.250000,2.133712,0.002623,196,0.006160
E-ADMM,46,0.250000,5.367922,0.019326,501,0.117729
E-ADMM-Nest,46,0.250000,2.860670,0.002629,270,0.006230
E-ADMM-HB,46,0.250000,2985.223959,0.002623,200,0.006170
DY,48,0.750000,4.685122,0.000698,430,0.001038
DY-Nest,48,0.750000,1.128285,0.000654,104,0.000711
DY-HB,48,0.750000,0.744715,0.000654,67,0.000711
E2-ADMM,48,0.750000,14.095785,0.000697,399,0.001306
E2-ADMM-Nest,48,0.750000,11.693723,0.000654,117,0.000711
E2-ADMM-HB,48,0.750000,7.349813,0.000654,77,0.000711
E-ADMM,48,0.750000,110.301178,0.000698,419,0.001213
E-ADMM-Nest,48,0.750000,0.914153,0.000704,83,0.000873
E-ADMM-HB,48,0.750000,0.816514,0.000654,71,0.000711
DY,48,0.500000,8.965080,0.001326,501,0.005996
DY-Nest,48,0.500000,15.402537,0.001035,166,0.001356
DY-HB,48,0.500000,10.197404,0.001035,111,0.001355
E2-ADMM,48,0.500000,12196.677969,0.001253,501,0.005536
E2-ADMM-Nest,48,0.500000,2.077415,0.001036,181,0.001358
E2-ADMM-HB,48,0.500000,1.045711,0.001035,93,0.001355
E-ADMM,48,0.500000,32.798905,0.001293,501,0.005676
E-ADMM-Nest,48,0.500000,1387.189931,0.001035,183,0.001354
E-ADMM-HB,48,0.500000,1.201969,0.001035,102,0.001355
DY,48,0.250000,5.546538,0.019402,501,0.131538
DY-Nest,48,0.250000,11.236761,0.002485,316,0.006308
DY-HB,48,0.250000,19.531834,0.002487,207,0.006272
E2-ADMM,48,0.250000,244.123869,0.019626,501,0.130872
E2-ADMM-Nest,48,0.250000,3.046464,0.002493,271,0.006350
E2-ADMM-HB,48,0.250000,4.055825,0.002485,256,0.006300
E-ADMM,48,0.250000,641.943236,0.019688,501,0.132212
E-ADMM-Nest,48,0.250000,3.197390,0.002492,281,0.006345
E-ADMM-HB,48,0.250000,3.465799,0.002486,311,0.006307
DY,50,0.750000,30.169034,0.000649,501,0.000918
DY-Nest,50,0.750000,2340.141399,0.000609,128,0.000667
DY-HB,50,0.750000,0.981107,0.000609,72,0.000667
E2-ADMM,50,0.750000,6.143761,0.000648,501,0.000822
E2-ADMM-Nest,50,0.750000,1.527528,0.000610,132,0.000669
E2-ADMM-HB,50,0.750000,0.914153,0.000609,78,0.000667
E-ADMM,50,0.750000,552.653406,0.000649,501,0.000926
E-ADMM-Nest,50,0.750000,1.453520,0.000647,97,0.000867
E-ADMM-HB,50,0.750000,0.852687,0.000610,67,0.000668
DY,50,0.500000,5.676730,0.001604,501,0.013094
DY-Nest,50,0.500000,2.055734,0.000988,184,0.001317
DY-HB,50,0.500000,9.449631,0.000987,120,0.001312
E2-ADMM,50,0.500000,6761.285447,0.001496,501,0.012823
E2-ADMM-Nest,50,0.500000,4.229199,0.000987,232,0.001312
E2-ADMM-HB,50,0.500000,1.306223,0.001007,92,0.001362
E-ADMM,50,0.500000,5.936744,0.001501,501,0.013090
E-ADMM-Nest,50,0.500000,2.370532,0.000987,200,0.001313
E-ADMM-HB,50,0.500000,1.371028,0.000987,117,0.001312
DY,50,0.250000,5.705881,0.019385,501,0.149959
DY-Nest,50,0.250000,3.468765,0.002418,306,0.006691
DY-HB,50,0.250000,5.248104,0.002415,456,0.006659
E2-ADMM,50,0.250000,6.502196,0.019507,501,0.149347
E2-ADMM-Nest,50,0.250000,4.185333,0.002425,318,0.006748
E2-ADMM-HB,50,0.250000,3.465543,0.002414,296,0.006642
E-ADMM,50,0.250000,5.879600,0.019552,501,0.149856
E-ADMM-Nest,50,0.250000,3.711539,0.002419,309,0.006697
E-ADMM-HB,50,0.250000,3.661815,0.002414,317,0.006650
